Math,Physics,Chemistry,Biology,CS,Commerce,Recommended_Stream
99,52,95,100,88,45,Engineering
88,77,72,33,35,84,Commerce
40,68,48,93,93,79,Arts
74,75,43,100,43,46,Arts
90,58,79,46,90,62,Arts
46,47,33,91,100,55,Commerce
59,65,68,44,54,43,Arts
90,98,87,65,76,31,Engineering
67,67,31,30,78,30,Arts
77,68,52,45,59,37,Arts
60,62,55,55,42,50,Commerce
49,30,91,70,36,77,Commerce
70,52,30,72,59,84,Commerce
41,61,90,42,66,58,Commerce
52,48,58,42,30,92,Arts
78,46,65,96,69,94,Commerce
33,55,39,86,91,32,Arts
35,42,73,86,67,54,Arts
36,30,64,47,86,80,Commerce
66,79,97,47,79,91,Commerce
72,85,48,79,87,41,Arts
46,61,75,56,62,90,Commerce
61,40,55,31,35,35,Commerce
79,91,52,72,72,71,Arts
89,35,100,90,31,32,Arts
45,70,58,73,47,81,Commerce
38,45,53,68,54,88,Commerce
79,76,51,58,89,69,Arts
44,31,90,59,45,86,Arts
51,53,85,89,62,34,Commerce
98,54,30,91,39,43,Commerce
58,81,98,85,68,33,Arts
41,64,61,82,34,81,Commerce
68,44,96,92,86,33,Commerce
32,57,69,44,58,60,Arts
97,57,81,32,98,95,Commerce
37,55,60,48,58,30,Commerce
87,92,36,100,91,41,Arts
65,43,93,55,88,34,Arts
83,34,95,92,98,86,Commerce
64,80,68,49,76,56,Commerce
55,100,31,80,48,65,Commerce
55,31,45,93,77,39,Commerce
84,33,48,66,54,88,Commerce
33,48,63,85,76,98,Commerce
44,76,85,51,90,92,Arts
63,52,94,91,83,96,Commerce
56,81,36,54,42,32,Arts
49,54,87,89,72,71,Arts
69,48,63,59,94,65,Arts
97,76,94,47,85,95,Engineering
58,67,39,65,88,66,Arts
66,45,77,51,84,99,Commerce
46,58,56,95,97,58,Commerce
72,75,64,69,58,65,Commerce
89,33,86,99,78,66,Arts
75,45,93,92,95,78,Arts
38,87,56,44,96,66,Commerce
99,64,39,44,36,53,Arts
44,64,100,55,66,55,Commerce
34,93,95,75,39,96,Arts
33,94,41,43,47,34,Commerce
31,74,37,84,48,88,Commerce
97,52,68,69,42,80,Commerce
64,71,68,63,54,55,Commerce
46,84,65,43,74,57,Commerce
52,78,93,94,85,65,Arts
37,84,75,34,92,52,Arts
78,73,54,47,77,69,Commerce
80,41,78,86,34,95,Commerce
74,42,75,98,59,48,Commerce
92,92,61,34,74,60,Commerce
73,53,47,89,93,34,Commerce
62,91,60,58,53,96,Commerce
76,78,62,51,35,52,Arts
41,31,77,67,84,38,Commerce
66,78,49,53,59,54,Commerce
38,33,49,64,55,77,Commerce
50,83,40,41,79,77,Commerce
54,46,84,61,55,44,Commerce
53,89,39,51,80,33,Commerce
65,53,90,51,97,82,Arts
41,73,47,41,78,77,Arts
47,90,86,48,36,92,Arts
86,65,49,77,61,54,Arts
39,74,79,83,84,59,Commerce
71,46,89,32,34,50,Arts
58,68,48,78,58,47,Commerce
97,91,87,47,61,60,Engineering
75,97,62,60,58,41,Commerce
67,76,63,52,87,96,Commerce
34,41,39,45,48,67,Arts
98,45,88,97,96,94,Commerce
100,52,56,83,44,81,Commerce
75,79,71,73,93,92,Commerce
70,42,98,71,31,52,Arts
32,94,45,94,43,43,Commerce
64,81,61,35,83,85,Commerce
83,98,80,33,33,30,Engineering
42,34,61,90,53,93,Commerce
33,92,52,47,36,93,Commerce
70,43,58,38,30,91,Commerce
81,35,44,97,83,93,Commerce
92,51,99,90,94,31,Arts
64,65,80,83,46,33,Arts
31,59,44,39,96,96,Commerce
88,89,58,87,64,38,Arts
67,64,80,42,99,42,Commerce
94,99,75,32,79,79,Engineering
61,32,70,90,35,69,Commerce
85,68,34,79,99,56,Arts
35,87,34,96,93,59,Arts
50,95,93,93,75,62,Medical
48,67,65,32,42,87,Commerce
61,72,91,50,47,55,Arts
74,62,30,36,55,30,Commerce
84,86,68,59,30,98,Commerce
81,48,71,41,100,81,Commerce
79,60,100,80,68,92,Commerce
59,86,95,99,61,38,Medical
40,75,54,38,89,57,Arts
69,39,72,61,34,56,Commerce
48,99,74,99,79,60,Medical
82,91,36,99,80,93,Commerce
76,86,92,40,81,30,Arts
41,99,64,85,37,97,Arts
41,47,63,34,56,44,Commerce
84,97,32,100,80,72,Arts
41,96,53,58,58,92,Arts
61,72,56,55,87,86,Arts
84,66,60,30,58,95,Commerce
66,57,78,86,57,84,Arts
44,75,36,68,39,56,Commerce
77,73,91,79,70,41,Arts
78,60,48,45,45,48,Commerce
66,32,56,64,100,45,Arts
64,49,96,30,82,98,Commerce
68,66,93,51,31,34,Commerce
86,64,48,81,34,59,Arts
69,63,55,45,99,75,Arts
67,76,98,39,72,48,Arts
69,73,97,54,55,33,Commerce
37,42,73,49,35,40,Arts
64,60,34,75,48,54,Commerce
100,42,55,53,57,40,Arts
56,43,64,63,51,97,Commerce
74,66,77,90,62,35,Commerce
76,62,56,94,88,100,Commerce
81,59,33,39,69,49,Commerce
86,89,39,48,87,67,Commerce
77,60,100,85,56,46,Arts
42,55,83,68,89,34,Commerce
77,68,47,63,66,64,Commerce
72,59,33,69,34,79,Commerce
33,40,38,97,58,42,Arts
86,31,91,97,95,32,Arts
56,100,73,39,98,99,Commerce
67,47,100,88,93,87,Commerce
93,48,96,43,77,62,Arts
64,39,99,62,91,86,Arts
67,39,97,41,35,37,Arts
89,48,59,78,82,90,Commerce
54,37,80,32,55,42,Commerce
97,99,98,74,97,46,Engineering
70,55,97,90,90,61,Arts
39,36,58,34,38,65,Commerce
98,59,89,81,91,84,Engineering
68,43,46,59,50,30,Commerce
56,36,93,92,81,34,Commerce
94,72,67,48,41,62,Commerce
64,62,30,53,64,30,Arts
89,96,90,51,56,62,Engineering
54,55,31,43,81,100,Commerce
38,52,81,48,85,44,Commerce
89,79,84,92,73,41,Engineering
48,50,80,84,94,81,Arts
71,63,94,38,52,83,Arts
80,67,96,82,63,84,Commerce
98,67,30,43,51,33,Commerce
93,36,35,61,94,65,Commerce
31,87,57,80,68,53,Commerce
76,48,68,95,65,86,Commerce
79,87,52,98,58,86,Commerce
66,95,39,82,86,65,Arts
37,73,96,72,81,55,Commerce
98,76,93,41,95,46,Engineering
53,71,74,63,100,39,Commerce
46,83,88,44,59,46,Arts
73,74,68,94,64,89,Commerce
96,36,76,97,57,31,Commerce
61,35,32,57,95,87,Arts
95,95,75,54,51,81,Engineering
59,97,94,32,45,52,Commerce
79,60,76,75,52,88,Commerce
88,70,44,88,70,41,Commerce
36,82,80,55,40,98,Commerce
46,66,51,96,62,39,Commerce
94,71,83,64,72,92,Engineering
80,53,93,44,55,71,Arts
97,47,36,85,30,42,Arts
40,36,30,44,98,59,Commerce
91,94,71,36,41,52,Engineering
86,83,59,34,47,35,Arts
96,72,94,32,41,76,Engineering
87,91,48,91,95,33,Arts
62,61,50,94,37,94,Commerce
57,33,75,53,99,67,Arts
88,55,62,74,33,33,Commerce
67,70,66,32,66,58,Commerce
35,85,53,31,67,35,Commerce
85,60,73,64,100,70,Arts
61,89,78,94,55,92,Commerce
67,87,83,99,79,46,Medical
59,91,49,70,38,86,Commerce
73,38,62,91,76,90,Commerce
42,57,61,53,49,49,Commerce
91,83,50,38,34,50,Arts
88,47,70,75,62,97,Commerce
93,70,68,90,80,39,Arts
80,70,32,52,68,57,Commerce
38,36,46,77,32,36,Arts
47,93,30,55,99,89,Arts
97,47,43,92,84,97,Commerce
60,45,70,70,92,93,Commerce
64,79,62,48,57,89,Commerce
68,89,51,94,96,58,Arts
56,75,99,50,93,34,Arts
50,63,70,56,42,52,Commerce
100,71,47,36,79,77,Commerce
39,55,60,65,75,89,Arts
52,41,32,38,40,83,Commerce
78,75,90,61,32,100,Commerce
42,69,56,42,98,88,Commerce
93,100,52,83,89,62,Arts
83,38,64,38,69,76,Commerce
52,41,32,78,35,59,Commerce
31,72,30,59,100,35,Commerce
49,33,74,36,79,37,Arts
77,86,77,69,30,57,Commerce
75,77,69,51,88,32,Commerce
83,75,62,71,58,50,Arts
77,66,77,67,72,49,Arts
96,56,85,78,44,50,Commerce
58,39,86,72,79,54,Arts
77,84,62,77,46,100,Commerce
77,50,93,98,30,77,Arts
56,39,60,74,32,36,Commerce
72,50,76,87,35,42,Arts
47,68,73,80,74,88,Arts
67,57,63,51,57,33,Arts
90,86,55,48,84,61,Arts
45,68,94,77,39,35,Commerce
36,39,74,94,31,46,Commerce
93,30,40,67,37,53,Commerce
93,82,85,83,70,82,Engineering
42,58,54,48,81,61,Arts
67,91,31,43,90,42,Arts
48,53,97,48,100,41,Arts
68,48,92,86,92,50,Arts
43,88,80,80,90,91,Arts
100,56,88,81,77,83,Engineering
85,33,98,89,46,33,Commerce
91,81,58,98,59,86,Commerce
97,74,61,53,50,30,Arts
61,74,63,75,38,54,Arts
65,34,93,50,87,68,Arts
34,72,89,56,90,59,Arts
92,41,85,58,57,87,Commerce
62,30,51,42,84,66,Commerce
85,94,57,62,41,39,Commerce
98,55,92,41,30,46,Engineering
33,63,42,85,68,77,Arts
89,89,53,36,91,89,Commerce
31,86,43,86,94,61,Commerce
83,45,44,79,45,74,Commerce
94,83,60,33,40,62,Arts
86,100,81,79,98,69,Engineering
76,34,58,35,44,100,Commerce
41,69,85,91,58,41,Commerce
46,82,97,96,40,50,Medical
96,85,31,77,62,74,Commerce
100,34,39,35,53,66,Arts
72,40,86,32,82,42,Arts
62,67,73,48,47,93,Commerce
35,40,50,86,95,45,Arts
59,66,49,87,73,71,Commerce
34,54,83,33,62,51,Arts
52,76,83,52,59,89,Commerce
87,76,77,73,53,36,Commerce
64,63,69,80,99,71,Arts
57,93,69,79,64,96,Commerce
97,55,57,44,30,52,Arts
87,52,75,61,51,31,Arts
52,66,82,50,91,84,Arts
36,55,92,37,83,41,Commerce
86,42,36,33,95,95,Commerce
48,83,44,55,55,73,Commerce
60,53,51,58,46,85,Arts
36,30,100,55,89,37,Arts
65,32,36,80,41,51,Arts
42,43,70,72,66,60,Arts
56,87,43,68,93,70,Commerce
98,69,58,97,59,81,Commerce
45,67,49,60,41,95,Commerce
55,97,31,82,87,93,Commerce
88,51,31,49,61,88,Commerce
38,51,30,64,51,78,Commerce
91,50,45,82,82,91,Commerce
39,80,34,32,41,50,Arts
38,30,48,97,54,37,Commerce
80,35,50,31,94,34,Commerce
55,83,60,30,53,74,Arts
83,42,89,43,49,62,Commerce
83,97,80,94,96,81,Engineering
88,96,71,82,59,95,Engineering
57,59,44,54,65,36,Commerce
50,94,43,67,90,64,Commerce
98,49,50,95,55,96,Commerce
47,92,50,49,66,53,Commerce
32,30,59,72,94,47,Commerce
71,95,47,82,95,81,Arts
37,50,40,61,87,99,Arts
57,43,74,100,47,80,Commerce
53,60,49,48,70,64,Arts
61,98,61,73,45,100,Commerce
66,92,50,54,76,67,Arts
69,86,50,65,46,93,Commerce
75,82,58,45,87,67,Arts
81,47,53,93,83,100,Commerce
70,86,84,70,41,31,Commerce
40,73,56,39,59,80,Commerce
82,55,41,65,35,88,Commerce
32,91,70,66,42,63,Commerce
86,32,46,56,57,53,Arts
38,31,57,99,64,54,Commerce
55,98,83,54,50,79,Commerce
52,36,43,38,38,76,Commerce
58,84,93,50,55,58,Commerce
97,58,60,63,41,32,Arts
83,67,94,42,87,57,Arts
96,95,62,49,64,44,Engineering
54,54,71,82,78,79,Arts
35,68,70,81,46,52,Commerce
91,97,36,86,42,40,Commerce
33,64,50,43,79,76,Arts
36,49,44,93,83,81,Commerce
34,54,56,68,52,89,Commerce
53,57,54,81,95,58,Arts
43,81,58,96,83,51,Commerce
91,98,52,31,51,77,Commerce
46,82,68,84,96,80,Arts
70,86,57,61,57,59,Arts
43,66,56,30,40,83,Commerce
59,41,82,48,40,85,Commerce
52,54,76,99,45,44,Arts
80,81,43,30,97,39,Commerce
92,51,83,33,72,64,Commerce
34,95,89,63,97,96,Arts
61,45,73,69,34,43,Commerce
93,31,45,34,64,37,Commerce
92,74,89,43,56,54,Engineering
31,32,93,34,90,100,Arts
37,94,82,70,36,64,Commerce
86,43,30,79,76,55,Arts
65,85,32,35,37,94,Commerce
79,48,66,53,58,58,Arts
66,69,34,78,61,59,Commerce
34,58,98,88,36,93,Arts
98,36,62,100,90,76,Commerce
48,42,85,94,74,75,Arts
70,79,100,35,97,98,Commerce
84,87,89,34,80,99,Engineering
76,44,95,40,79,49,Arts
57,55,56,77,35,98,Commerce
40,91,83,43,39,37,Commerce
35,43,80,86,72,80,Commerce
50,69,71,65,46,32,Commerce
58,59,31,86,81,50,Commerce
70,51,77,56,68,82,Commerce
54,100,85,92,100,38,Medical
84,51,69,96,31,90,Commerce
83,74,39,64,56,99,Commerce
89,52,90,51,95,99,Commerce
44,51,47,88,40,32,Arts
97,60,99,81,99,73,Engineering
75,58,37,31,75,84,Commerce
40,94,33,63,62,62,Commerce
79,62,61,45,59,46,Commerce
54,96,58,58,73,31,Commerce
72,56,48,49,64,90,Commerce
90,92,87,80,55,78,Engineering
95,36,75,97,83,57,Arts
60,89,53,33,35,59,Arts
40,50,54,92,93,82,Arts
41,66,85,60,51,57,Commerce
86,70,64,90,48,76,Arts
75,57,96,89,75,37,Arts
66,87,74,37,83,38,Arts
92,86,85,74,37,99,Engineering
39,32,35,32,42,37,Commerce
94,33,40,78,71,47,Arts
98,82,53,40,89,42,Commerce
71,96,62,67,74,36,Commerce
77,51,62,48,69,73,Commerce
96,31,89,89,85,59,Arts
69,38,88,44,62,70,Arts
59,81,84,55,45,96,Commerce
84,70,34,57,43,71,Arts
69,74,66,61,36,56,Commerce
99,98,98,43,41,66,Engineering
47,65,59,55,41,64,Arts
97,97,64,92,31,49,Engineering
31,45,77,75,81,59,Commerce
60,77,89,87,66,49,Arts
70,31,52,68,46,70,Commerce
32,39,67,41,48,69,Arts
36,97,63,31,94,87,Commerce
51,62,48,69,45,100,Commerce
86,81,75,74,31,99,Commerce
47,77,33,53,73,48,Arts
48,73,97,45,85,57,Arts
53,32,32,92,82,61,Arts
59,70,97,34,97,37,Commerce
34,50,61,55,56,74,Arts
96,68,84,66,31,94,Engineering
34,61,43,57,49,97,Commerce
75,93,38,72,45,42,Arts
94,56,92,41,44,80,Commerce
45,91,70,45,32,80,Commerce
93,83,32,31,53,46,Commerce
53,95,83,55,85,44,Commerce
80,81,85,42,80,74,Arts
59,48,43,32,98,86,Arts
35,97,56,100,92,69,Arts
41,70,67,95,82,43,Arts
56,68,70,69,58,41,Commerce
78,52,53,49,35,75,Arts
93,83,38,64,54,84,Commerce
66,78,70,35,98,43,Commerce
68,43,47,100,39,97,Commerce
61,69,60,84,53,45,Arts
93,68,31,53,60,46,Arts
93,100,60,41,91,52,Engineering
69,67,59,68,50,95,Commerce
34,59,36,36,40,58,Commerce
76,99,43,31,62,77,Arts
75,91,78,85,45,43,Arts
37,63,75,73,43,96,Commerce
58,37,70,78,58,94,Commerce
54,89,54,39,66,77,Commerce
62,44,53,59,97,95,Commerce
56,70,76,51,40,33,Commerce
73,57,40,62,44,94,Commerce
43,58,74,88,64,85,Arts
42,50,62,52,38,33,Arts
85,73,86,88,36,50,Commerce
40,82,66,35,30,77,Arts
74,43,37,63,37,47,Arts
93,34,33,68,74,59,Commerce
80,32,74,78,86,60,Commerce
82,58,85,80,74,36,Arts
44,88,84,85,73,39,Arts
53,72,76,50,69,91,Commerce
51,60,32,94,56,39,Arts
80,53,60,51,61,67,Commerce
73,34,41,49,44,56,Arts
100,75,84,98,56,38,Engineering
41,100,44,42,90,60,Commerce
76,95,61,79,63,79,Arts
81,82,69,65,91,86,Commerce
38,90,61,75,61,86,Arts
31,83,47,78,71,89,Arts
77,31,52,34,79,96,Commerce
53,98,94,49,95,72,Arts
100,52,51,66,61,66,Arts
47,36,49,97,31,43,Arts
66,53,45,38,94,51,Arts
83,66,43,66,99,62,Commerce
52,33,64,68,76,40,Arts
58,65,78,40,79,51,Commerce
61,52,90,52,75,71,Commerce
79,82,43,65,78,57,Arts
48,100,34,75,82,90,Arts
58,36,46,50,34,44,Arts
91,86,91,36,62,49,Engineering
34,68,93,91,79,74,Arts
35,88,79,45,78,44,Commerce
98,90,65,38,88,83,Engineering
45,35,41,89,47,100,Commerce
67,40,79,92,44,48,Arts
88,42,66,48,61,90,Commerce
36,60,92,94,89,81,Arts
31,61,74,44,33,99,Arts
96,43,95,91,35,76,Commerce
33,48,69,73,43,40,Commerce
60,96,30,34,31,86,Arts
50,41,82,47,43,83,Arts
100,99,62,43,45,62,Engineering
50,43,51,55,72,68,Commerce
73,84,97,88,60,52,Arts
94,83,76,92,56,45,Engineering
57,100,97,40,51,76,Arts
82,95,87,56,63,48,Engineering
37,52,70,88,55,81,Arts
33,98,41,35,98,92,Arts
51,66,77,66,86,34,Commerce
68,61,44,100,98,52,Arts
30,95,33,60,71,92,Arts
40,50,68,70,47,87,Commerce
46,75,58,62,40,65,Commerce
80,30,43,80,89,39,Arts
69,32,87,46,81,99,Commerce
57,74,35,59,67,86,Commerce
33,52,65,41,75,35,Commerce
43,49,48,56,43,78,Commerce
34,43,75,89,89,57,Commerce
99,61,95,32,36,70,Engineering
93,59,78,48,95,52,Arts
79,44,43,49,86,93,Commerce
62,45,43,56,39,58,Commerce
33,51,71,90,74,84,Commerce
71,31,30,69,55,59,Commerce
92,67,77,72,34,66,Arts
76,69,38,97,80,56,Arts
40,99,92,84,76,49,Arts
41,57,71,58,35,51,Arts
73,59,46,52,79,49,Arts
34,70,55,49,87,68,Commerce
83,71,66,61,77,52,Commerce
33,41,96,57,76,99,Commerce
33,43,70,68,67,51,Commerce
87,91,97,79,43,31,Engineering
87,52,43,91,89,65,Arts
42,84,80,52,43,37,Commerce
88,94,89,87,41,57,Engineering
59,97,100,55,94,54,Arts
34,78,63,78,100,34,Arts
56,35,40,41,77,84,Commerce
98,41,91,97,88,61,Arts
66,36,72,92,36,72,Arts
37,30,49,81,68,75,Commerce
91,46,59,91,73,81,Commerce
100,68,52,38,84,56,Commerce
67,83,98,93,78,55,Medical
58,77,52,81,81,57,Arts
64,59,59,58,40,66,Arts
64,86,60,59,95,64,Arts
51,68,71,36,43,88,Arts
86,87,63,94,97,42,Arts
49,75,55,100,52,35,Commerce
46,93,77,56,34,84,Arts
55,80,47,38,53,82,Arts
62,62,86,36,93,84,Arts
98,40,40,53,49,33,Commerce
62,89,51,39,49,60,Commerce
39,77,87,30,70,96,Arts
59,86,81,61,44,66,Commerce
98,35,68,77,90,96,Commerce
73,77,34,62,61,65,Commerce
67,60,44,61,54,44,Commerce
68,56,51,77,37,97,Commerce
47,89,91,46,35,90,Commerce
73,50,92,48,91,81,Arts
38,40,61,56,34,39,Arts
36,95,96,57,45,90,Commerce
90,83,72,38,73,99,Commerce
95,73,76,68,35,32,Commerce
74,32,99,93,64,89,Commerce
41,52,92,37,80,85,Arts
76,88,56,74,52,88,Commerce
34,63,75,90,75,95,Arts
36,49,33,92,61,77,Arts
92,95,77,36,33,48,Engineering
33,63,61,70,80,84,Arts
53,88,78,91,44,46,Commerce
91,66,98,99,96,89,Engineering
95,90,39,67,39,50,Commerce
84,77,81,32,55,53,Arts
49,70,62,93,74,68,Arts
72,35,53,62,93,92,Commerce
59,56,48,37,61,32,Commerce
73,59,67,36,91,70,Commerce
85,100,68,62,31,76,Arts
33,73,57,74,65,31,Commerce
35,64,52,68,46,44,Arts
91,71,74,75,83,43,Arts
61,47,67,61,66,59,Arts
72,45,84,31,54,81,Commerce
90,80,95,61,74,56,Engineering
89,48,77,64,61,68,Arts
87,78,71,100,84,63,Arts
37,59,69,63,71,35,Commerce
51,48,42,36,83,100,Commerce
41,31,48,43,40,84,Commerce
43,32,65,99,64,31,Commerce
61,64,85,54,45,83,Commerce
96,56,41,89,81,86,Commerce
82,70,85,51,65,80,Commerce
59,94,89,50,44,82,Commerce
89,47,30,71,33,33,Arts
48,56,82,87,57,30,Arts
93,65,87,31,99,57,Arts
54,61,47,50,100,53,Arts
73,48,54,31,50,49,Commerce
100,53,82,43,75,45,Arts
74,88,80,76,91,74,Arts
39,61,44,68,37,75,Commerce
64,63,65,76,56,60,Commerce
68,45,64,89,55,62,Arts
70,54,92,65,90,48,Arts
96,38,41,77,47,38,Arts
95,70,55,88,42,42,Arts
49,39,88,78,37,85,Commerce
82,74,91,52,38,34,Arts
65,37,35,97,95,84,Commerce
97,86,95,38,49,46,Engineering
43,59,31,39,51,92,Commerce
42,44,36,38,32,35,Arts
32,94,63,57,43,95,Commerce
60,75,93,75,82,36,Arts
87,52,34,39,60,52,Commerce
66,65,48,73,71,100,Commerce
40,41,74,51,40,60,Arts
94,72,68,76,34,87,Commerce
41,46,78,73,30,64,Commerce
69,85,88,47,38,93,Commerce
48,64,77,42,55,41,Arts
33,76,66,52,81,56,Commerce
32,33,89,31,89,53,Commerce
86,87,61,39,49,50,Commerce
48,32,94,36,65,97,Commerce
